"entityId","entityIdLoweredCased","entityType","title","publisher","publisherId","builtFor","iconBackgroundColor","actionString","ctaTypes","primaryProduct","products","trials","pricingModel","ratings","appCompliance","showcaseLink","leadgenEnabled","filtermatch","detailInformation","detailLoadFailed","startingPrice","awards","universalAmendmentUrl","CertificationState","CertificationLink","tags","locale","AverageRating","NumberOfRatings","planPricingType","linkedAddIns","linkedSaaS","hideFromAdminPortal","offerType","popularity","ratingSummary","ratingSummaries","licenseManagement","bigId","downloadLink","downloadSampleLink","hasPrices","industriesDetails","categoriesDetails","productType","badges","category_mask_4","isCloudIndustry","iconURL","shortDescription","handoffURL","licenseTermsUrl","isSolutionMap"
"WA104381309","wa104381309","1","Text Filter","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"4.13","184","3","System.Object[]",,"False","11","1","@{TotalRatings=184; AverageRating=4.13; StarsDistribution=; Source=AppSource; OfferId=WA104381309; CreatedAt=4/16/2021 1:04:00 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N4Z","https://customvisualspackages.powerbi.com/publishedpackages/textFilter25A4896A83E0487089E2B90C9AE57C8A.2.2.9.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/textFilter25A4896A83E0487089E2B90C9AE57C8A.2.2.9.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","1048576","False","https://store-images.s-microsoft.com/image/apps.31077.a1943872-4bfd-46e4-bae1-f830f667a766.79e1c4fc-278c-44ce-a3e4-f758b4a2ac68.51dcfe05-d44e-4d0a-a57e-048d26e685cc","Search across your dataset right from the dashboard",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"WA104380752","wa104380752","1","Word Cloud","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"4.229","140","3","System.Object[]",,"False","11","0.999","@{TotalRatings=140; AverageRating=4.229; StarsDistribution=; Source=AppSource; OfferId=WA104380752; CreatedAt=4/23/2021 12:25:00 AM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N2R","https://customvisualspackages.powerbi.com/publishedpackages/WordCloud1447959067750.2.3.4.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/WordCloud1447959067750.2.3.4.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.46677.6339f8a2-c304-4e91-abb1-d0e08d10919f.247ab8af-bc2b-405f-8e74-b3bc9d6f1208.a37b80c4-a831-492d-966a-6c435ec7e330","Create a fun visual from frequent text in your data",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"WA104380765","wa104380765","1","Gantt","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"3.106","179","3","System.Object[]",,"False","11","0.999","@{TotalRatings=179; AverageRating=3.106; StarsDistribution=; Source=AppSource; OfferId=WA104380765; CreatedAt=4/28/2021 12:44:00 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N23","https://customvisualspackages.powerbi.com/publishedpackages/Gantt1448688115699.3.0.12.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/Gantt1448688115699.3.0.12.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.43719.0c4457a7-6d30-433b-a1af-3f40a1b7335b.b3c09c43-8260-451c-a847-0f4abec04341.080558be-0f6a-42df-8c61-e071ca8a4935","A type of bar chart which illustrates a project timeline or schedule with resources",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"zebrabi1634048186304.zebra-bi-tables","zebrabi1634048186304.zebra-bi-tables","1","Zebra BI Tables 7.0","Zebra BI","zebrabi1634048186304","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"5","12","3","System.Object[]",,"False","11","0.998","@{TotalRatings=12; AverageRating=5; StarsDistribution=; Source=AppSource; OfferId=zebrabi1634048186304.zebra-bi-tables; CreatedAt=10/4/2022 10:01:22 AM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0JMDF","https://customvisualspackages.powerbi.com/publishedpackages/ZebraBITablesBAE31B370F254F808553548EFB35BFA5.7.4.1.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/ZebraBITablesBAE31B370F254F808553548EFB35BFA5.7.4.1.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","4259840","False","https://store-images.s-microsoft.com/image/apps.31180.d971c71b-f0de-418a-afb0-7c0cfdffc96e.ad03dc7b-7327-4611-858f-2a0d197cd715.c7c3a7c1-c23a-47b3-8c23-386926a9e7e8","The world’s fastest matrix visual in Power BI combines tables with charts in just a few clicks.",,"https://zebrabi.com/legal/?doc=eula","False"
"WA104380756","wa104380756","1","Chiclet Slicer","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"3.889","253","3","System.Object[]",,"False","11","0.998","@{TotalRatings=253; AverageRating=3.889; StarsDistribution=; Source=AppSource; OfferId=WA104380756; CreatedAt=5/9/2021 2:31:33 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N32","https://customvisualspackages.powerbi.com/publishedpackages/ChicletSlicer1448559807354.2.2.1.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/ChicletSlicer1448559807354.2.2.1.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.24792.5a1348f0-4324-4b13-9bc5-0be21c53ade6.b3126167-d309-4034-9cf9-a8ba044ceab1.5917923e-7e1d-4a19-8476-9201da4ef33c","Display image and/or text buttons that act as an in-canvas filter on other visuals",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"WA104380777","wa104380777","1","Sankey Chart","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"3.331","130","3","System.Object[]",,"False","11","0.998","@{TotalRatings=130; AverageRating=3.331; StarsDistribution=; Source=AppSource; OfferId=WA104380777; CreatedAt=5/9/2021 2:46:37 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N3M","https://customvisualspackages.powerbi.com/publishedpackages/sankey02300D1BE6F5427989F3DE31CCA9E0F32020.3.4.3.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/sankey02300D1BE6F5427989F3DE31CCA9E0F32020.3.4.3.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.4502.bb4252ce-e757-4fb3-a86f-1e5161492e1c.63879633-bf38-44c2-b1ac-06b89d5660cc.eacb5c55-9a83-4bd5-a224-ed36cd7b9be5","Flow diagram where the width of the series is proportional to the quantity of the flow",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"WA104380786","wa104380786","1","Timeline Slicer","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"3.303","251","3","System.Object[]",,"False","11","0.998","@{TotalRatings=251; AverageRating=3.303; StarsDistribution=; Source=AppSource; OfferId=WA104380786; CreatedAt=4/23/2021 12:31:00 AM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N3P","https://customvisualspackages.powerbi.com/publishedpackages/Timeline1447991079100.2.5.11.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/Timeline1447991079100.2.5.11.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.18548.ba077ef8-1fb9-4b64-b948-2e396a474bdf.846c6da8-0f32-4266-88e5-d2528351154d.d14fa644-9c7c-4af2-a59a-2009f0203035","Graphical date range selector to use for filtering dates",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"WA104380937","wa104380937","1","Tachometer","Annik Inc","annikinc705833324","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"4.331","130","3","System.Object[]",,"False","11","0.997","@{TotalRatings=130; AverageRating=4.331; StarsDistribution=; Source=AppSource; OfferId=WA104380937; CreatedAt=4/28/2021 6:43:00 AM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0B0P5","https://customvisualspackages.powerbi.com/publishedpackages/Tachometer1474636471549.3.0.1.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/Tachometer1474636471549.3.0.1.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","4194304","False","https://store-images.s-microsoft.com/image/apps.30418.fbc05af9-5692-4dcd-95c0-7d361cd145c2.8392f372-4a4a-4f51-be01-6a92dcb5d168.df4177cf-192e-4ade-9afa-aba7c2348c82","A highly customizable gauge visual.",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"databrotherssro1596013704866.dbi_text_search_slicer","databrotherssro1596013704866.dbi_text_search_slicer","1","Text search slicer","DataBrothers s.r.o.","databrotherssro1596013704866","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"4.167","18","3","System.Object[]",,"False","11","0.997","@{TotalRatings=18; AverageRating=4.167; StarsDistribution=; Source=AppSource; OfferId=databrotherssro1596013704866.dbi_text_search_slicer; CreatedAt=9/2/2022 7:45:41 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0JKVP","https://customvisualspackages.powerbi.com/publishedpackages/textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85.1.1.0.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85.1.1.0.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","1048576","False","https://store-images.s-microsoft.com/image/apps.52200.4b2c69a1-e9bc-41ff-b742-c892c4cd9d20.be741c65-6051-4b7e-975b-cd2b31113862.4f8cf83a-532a-4a2f-89d8-86be700cc48d","Customizable slicer that enables searching/filtering within one or more text categories.",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"WA104381364","wa104381364","1","Gantt Chart by MAQ Software","MAQ LLC","maqsoftware1587623472284","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","3","14","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"3.979","95","3","System.Object[]",,"False","11","0.997","@{TotalRatings=95; AverageRating=3.979; StarsDistribution=; Source=AppSource; OfferId=WA104381364; CreatedAt=5/9/2021 2:17:42 PM}","System.Object[]","@{isMicrosoftManaged=True; isFreemium=True}","DZH318Z0B0VW","https://customvisualspackages.powerbi.com/publishedpackages/GanttChartByMAQSoftware1448688115701.4.0.4.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/GanttChartByMAQSoftware1448688115701.4.0.4.0.pbix","True","System.Object[]","System.Object[]","524288","System.Object[]","268435456","False","https://store-images.s-microsoft.com/image/apps.48798.590dc632-7d4f-4dcb-8849-9f54d535d433.41d5a470-d311-4967-80f5-1a9c27d66a72.55704c71-a305-413d-9f21-84be568fcddc","Gantt chart for effective project management | Power BI Certified",,"https://maqsoftware.com/pbivisualeula","False"
